Team Name,Efficiency Differential,Points Per 100 Possestions,Effective FG%,TOV%,Offensive REB%,Free Throw Rate,Points Allowed Per 100 Possesions,Opponent Effective FG%,Opponent TOV%,Opponent OREB%,Opponent Free Throw Rate
Average,0.0,114.0,54.4,14.5,26.9,21.1,114.0,54.4,14.5,26.9,21.1
Boston Celtics,+7.1,118.9,57.0,13.1,23.3,22.3,111.8,53.8,13.2,24.3,18.0
Memphis Grizzlies,+6.1,115.8,53.5,13.9,32.1,19.6,109.7,51.8,14.4,26.5,19.6
Brooklyn Nets,+4.6,116.7,58.8,14.7,21.4,19.2,112.1,51.9,14.7,29.6,21.7
Cleveland Cavaliers,+4.4,114.9,55.1,14.4,26.6,22.4,110.5,53.7,15.2,25.2,20.7
Denver Nuggets,+4.4,119.2,58.9,14.9,27.1,19.9,114.9,55.3,13.7,24.9,20.4
New Orleans Pelicans,+4.2,116.3,54.9,14.9,29.2,23.1,112.1,54.6,15.4,25.3,20.7
Philadelphia 76ers,+4.1,115.3,55.6,14.4,23.5,23.1,111.2,53.6,16.0,27.7,21.7
New York Knicks,+2.5,115.8,52.3,13.5,31.7,22.1,113.3,53.0,13.6,27.4,21.1
Milwaukee Bucks,+2.0,111.8,53.1,15.3,29.6,19.2,109.8,51.4,12.0,24.1,18.1
Dallas Mavericks,+1.9,116.5,56.6,12.8,21.6,24.1,114.6,54.7,14.4,27.1,22.8
Sacramento Kings,+1.8,117.2,57.0,14.1,24.2,22.7,115.4,55.7,14.2,24.6,21.8
Utah Jazz,+0.8,117.4,55.5,15.1,29.2,21.0,116.6,54.8,14.0,28.4,21.4
Phoenix Suns,+0.6,114.6,53.7,14.2,29.8,18.1,114.0,54.1,15.5,27.9,24.3
Toronto Raptors,+0.2,113.9,51.0,12.4,29.8,22.4,113.7,56.5,17.6,27.4,22.9
Golden State Warriors,+0.2,114.0,56.4,16.1,25.3,18.2,113.8,54.3,14.5,27.1,22.7
Miami Heat,0.0,111.9,52.4,13.8,25.5,21.5,111.9,55.7,17.1,26.1,19.7
Portland Trail Blazers,-0.0,114.6,55.3,16.1,28.4,23.1,114.6,54.3,13.9,27.3,21.4
Chicago Bulls,-0.3,113.7,55.2,13.6,22.3,20.9,114.0,55.6,14.8,25.1,20.4
Minnesota Timberwolves,-0.4,113.1,55.8,15.8,24.7,21.6,113.5,54.1,15.5,29.4,21.7
Indiana Pacers,-0.7,114.0,54.7,14.9,26.1,21.0,114.7,53.7,15.3,29.8,23.3
Washington Wizards,-1.0,113.1,54.6,14.4,25.0,20.7,114.1,53.2,12.6,25.6,19.9
Oklahoma City Thunder,-1.2,112.5,53.0,13.6,27.1,19.6,113.7,54.1,16.4,29.7,23.0
Los Angeles Clippers,-1.5,110.4,53.7,15.3,25.6,21.1,112.0,53.2,13.4,25.4,19.1
Los Angeles Lakers,-1.6,113.6,54.9,14.4,24.2,22.4,115.2,54.5,12.4,26.2,17.9
Atlanta Hawks,-1.9,111.9,52.5,12.7,25.6,19.5,113.8,53.9,14.7,27.8,21.8
Orlando Magic,-3.5,111.2,53.3,15.6,26.5,23.4,114.7,54.7,14.1,25.9,20.6
Charlotte Hornets,-6.7,109.4,50.8,13.5,28.1,18.4,116.1,55.5,14.8,27.4,22.6
Detroit Pistons,-7.6,111.8,52.6,14.8,28.2,24.0,119.4,56.5,13.7,27.7,22.9
Houston Rockets,-7.8,109.1,51.1,17.0,32.3,21.9,116.8,55.7,13.8,26.5,21.3
San Antonio Spurs,-8.6,111.4,53.9,15.7,29.1,17.0,120.0,57.7,14.1,29.4,19.5
